Barcode;ÜrünKodu;RenkKodu;Beden;Açıklama;Tutar
196311810619;149754 BKRG;BKRG;6;SKECH-AİR DYNAMİGHT - PERFECT STEPS;2349,35
198376988944;237785 BKGY;BKGY;9.5;RIDGE OAK-NEWFOUND;2934,35
197627471211;128615 NTPK;NTPK;9;GO RUN CONSİSTENT 2.0 - ENDURE;3129,35
197976232204;150245 WBKS;WBKS;9;D'LİTES - VİNTAGE VİSİON;3759,35
8683030016771;999253TK BBK;BBK;10.5;DYNAMİGHT 2.0;3149,25
8683030028415;12980TK WSL;WSL;8.5;SUMMİTS;2299,25
197976097506;128613 WHT;WHT;11;GO RUN CONSİSTENT 2.0 - SUMPTER TRAİL;5034,05
198376868895;117617 BLK;BLK;8;BOBS B LOVE-TRUE DELIGHT;3184,35
198739842937;117685 BBK;BBK;8;BOBS DIEGO;5499,00
8683030716404;232706TK NVY;NVY;8.5;ARCH FİT 2.0-VALLO;2999,25
8683030017105;S212502-001;S212502001;OSFA;Shoe Care U Anti Odor Shoe Care;254,90
198376883515;117624 LTGY;LTGY;8;BOBS SQUAD 4 - STAPLE LOOK;3425,33
8683030059419;S222497-001;S222497001;OSFA;U Sneaker Easy Clean Shoe Care;210,68
198739814842;403893L GYBK;GYBK;2.5;SKECH-BOTS 2.0;3999,00
197976042636;403822L BBLM;BBLM;3;BOUNDER - BRİSK-BURST;3049,00
8683030662664;232700TK BBK;BBK;8.5;ARCH FİT 2.0;4999,00
197627931173;185170 NTGD;NTGD;8;HİLAND - QUİTE CHİC;5499,00
198376089207;150198 BBK;BBK;7;SKECH-LITE PRO THROUGH THE MUD;5499,00
8683030017129;S212504-001;S212504001;OSFA;Shoe Care U Athletic Cleaner Shoe Care;279,00
198376491932;314326L BLMT;BLMT;10.5;TWINKLE MAGIC - MERMAID SEA;2794,35
196989622446;149807 NAT;NAT;6.5;D'LİTES - GOOD NEUTRAL;4029,35
8683030031019;896123TK BBK;BBK;7;SUMMİTS;3499,00
197976525955;302393L BKGD;BKGD;1.5;ULTRA GROOVE - HYDRO MİST;4799,00
197976933897;129526 CCBL;CCBL;7.5;GO RUN TRAİL ALTİTUDE 2.0 - PİNE RİDGE;7399,00
8683030017129;S212504-001;S212504001;OSFA;Shoe Care U Athletic Cleaner Shoe Care;279,00
196642378222;400615L BKOR;BKOR;13;DİNO - LİGHTS;4299,00
197976057999;246084 BLK;BLK;8.5;GO RUN PERSİSTENCE 2;7599,00
197976479906;100703 BBK;BBK;6.5;GRACEFUL LEANING IN;3999,00
198739765618;129223 BKGY;BKGY;7.5;GO RUN ARCH FIT 2.0 JUNIPER;7599,00
8683030954479;SK2520009-1602;1602;13-14;G Lw Fleece Full Zıp Sweatshirt;1899,00
8683030954455;SK2520009-1602;1602;9-10;G Lw Fleece Full Zıp Sweatshirt;1899,00
196642757065;149805 NTMT;NTMT;10;ARCH FİT D'LİTES;4724,25
197976545120;200281 BLK;BLK;9;SKECH-LİTE PRO SR - PHAVEX;2573,36
197976545144;200281 BLK;BLK;10;SKECH-LİTE PRO SR - PHAVEX;2573,36
8683030031033;896123TK BBK;BBK;8;SUMMİTS;3499,00
197976493087;303755L BKMT;BKMT;11.5;İNFİNİTE HEART LİGHTS - ETERNAL SHİMMER;2380,31
198739425291;237423 GYMT;GYMT;8;D'LITES HIKER ECHO LAKE;6899,00
197627292885;237529 GYOR;GYOR;10.5;STAMİNA AT - VİNTAGE STİTCH;7799,00
196642883078;180061 OFWT;OFWT;8.5;ESCAPE PLAN;3999,20
198376407001;302214L LVMT;LVMT;3;SNUGGLE SNEAKS - SKECH SQUAD;2799,20
196642586474;303518L BKMT;BKMT;13.5;SNAP SPRİNTS 2.0  -  STARS AWAY;2999,00
198376526207;303585N LTPK;LTPK;7;BOUNDER SIMPLE CUTE;2899,00
198376526214;303585N LTPK;LTPK;8;BOUNDER SIMPLE CUTE;2899,00
193113350749;13145 WTRG;WTRG;9;D'LİTES  -  COPPER DİVİNE;4799,20
196989608921;237304 BBK;BBK;7.5;MAX PROTECT;8499,00
197976227088;210925 COC;COC;8.5;SLADE ULTRA PERALTO;6499,00
196989455600;104288 TPE;TPE;8.5;SLİP-İNS: GRATİS SPORT - AWE İNSPİRİNG;5699,00
197976964044;183177 NVY;NVY;9;COURT BREAK DOUBLE VENTED;5999,00
198739744583;205624 CHOC;CHOC;9;BURKETT LONZO;6499,00
195969318614;204409 BLK;BLK;9.5;ARCH FİT RECON  -  CADELL;6999,00
195969432617;210353 TPE;TPE;10;ARCH FİT BAXTER - PENDROY;4199,25
8683030632230;150128TK BKRG;BKRG;9;SUMMİTS - CLASSY NİGHT;3519,20
197627687469;400138N RYMT;RYMT;7;FLEX - GLOW BOLT;2079,35
198376310875;210994 BLK;BLK;10.5;ARCH FIT ORVAN - KINCADE;3769,35
196989713021;403902L NVLM;NVLM;1;BOUNDER 2.0;1754,35
8683030703169;S242124-001;1;S;W Micro Collection Jogger Sweatpant;1399,50
8683030770758;149473TK NTGD;NTGD;8;FASHION FIT;4899,00
196311958700;232517 CHOC;CHOC;9.5;EQUALİZER 5.0  -  HARVEY;4999,00
8683030770918;216334TK BRN;BRN;9.5;GO WALK FLEX RAY;4599,00
8683030950907;S2510044-4255;4255;XL;M Regular Crew Neck T-Shirt;2599,00
199025227476;125331 BKPK;BKPK;7;GO WALK ARCH FIT 2.0;5999,00
199025227490;125331 BKPK;BKPK;8;GO WALK ARCH FIT 2.0;5999,00
194880807061;52675 NAT;NAT;10;D'LİTES;4799,20
8683030662794;232700TK GRY;GRY;9.5;ARCH FİT 2.0;3749,25
198376923297;303258N NVMT;NVMT;10;HEART LIGHTS BOOGIE LAND;3199,00
8683030778891;896414TK TPE;TPE;9;FASHION FIT;4399,00
199025455602;125841 BBK;BBK;11;GO WALK ARCH FIT N-JOY;3999,00
198376042097;237688 LTGY;LTGY;10;ARCH FİT ROAD WALKER;7999,00
198739244847;237787 CCGY;CCGY;9.5;RIDGE OAK-JAMESAN;3119,35
197976402089;232835 BKW;BKW;7.5;EDGERİDE - REKZE;3439,20
191665119104;73690 BLK;BLK;7.5;UNO  - STAND ON AİR;5999,00
197976286818;252021 BKSL;BKSL;10.5;SKECHERS SKX 01 - 1.5 ELİTE FG;6499,35
8683030111056;88888316TK BKRG;BKRG;10;SUMMİTS;3999,00
195204351529;229033 CHAR;CHAR;8.5;GO CONSİSTENT SANDAL - WATERSHED;2024,25
198739244878;237787 CCGY;CCGY;11;RIDGE OAK-JAMESAN;3119,35
197976271494;118310 BBK;BBK;10;BOBS SPARROW FLEX-STEADY EDGE;5499,00
8721051028752;S118743-039;39;9-11;WO1/2 TERRY TRAIL QTR CREW - 2'Lİ PAKET KADIN ÇORAP;799,00
198739507942;129202 GRY;GRY;6;MAX RUN PACEWAVE;6499,00
198376094775;185234 NTMT;NTMT;7;HOTSHOT - FOR THE WIN;3749,25
198376348809;177357 GRY;GRY;8;SKECHERS SHADOW - STELLAR 90;6499,00
8683030017129;S212504-001;S212504001;OSFA;Shoe Care U Athletic Cleaner Shoe Care;279,00
198376783495;303940L MVE;MVE;13.5;VAPOR FOAM - FRESH TREND;2549,25
198376228651;303060L BLMT;BLMT;13;MERMAID DREAMS;4799,00
198376607753;150242 LTPK;LTPK;7.5;D'LITES - CORDUROY CHIC;4799,20
198376417208;303712L BKMT;BKMT;2.5;COSMIC GLOW;2959,20
198376039189;150249 BKSL;BKSL;7.5;D'LİTES - REFLECTİONS;3899,35
194428988405;149238 NAT;NAT;6.5;D'LİTES - SANDY BEACHES;4799,20
198739843217;117685 NAT;NAT;8;BOBS DIEGO;5499,00
197627803661;400613L BKLM;BKLM;11.5;THERMO-SPLASH - HYDRO-FLARE;2399,25
198376980399;180009 OWGN;OWGN;8;HILLCREST 2.0;3119,35
197627928302;150036 WSL;WSL;7.5;D'LİTES - UP SCALE;4959,20
197976665200;406068L BLBK;BLBK;2.5;SKX COURT HYPE - HOOPER-HERO;3999,00
198376404482;183241 WHT;WHT;10.5;KOOPA - VOLLEY LOW LIFESTYLE;3749,25
196642886710;237545 BKTN;BKTN;10;ARCH FİT ESCAPE PLAN;6999,00
197976232174;150245 WBKS;WBKS;7.5;D'LİTES - VİNTAGE VİSİON;3559,00
197627612522;150231 WOR;WOR;8;D'LITES - NEW HEAT;3899,35
196989303048;237550 BLK;BLK;7.5;ARCH FİT TRAİL AİRM;7799,00
199025066549;237419 BKCC;BKCC;9;D'LUX JOURNEY;7299,00
197976933903;129526 CCBL;CCBL;8;GO RUN TRAİL ALTİTUDE 2.0 - PİNE RİDGE;7399,00
8683030716602;232700TK OLBK;OLBK;10.5;ARCH FİT 2.0;3749,25
